SMILES,RD17_1,RD17_2,RD17_3,RD17_4,RD17_5,RD17_6,RD17_7,RD17_8,RD17_9,RD17_10,RD17_11,RD17_12,RD17_13,RD17_14,RD17_15,RD17_16,RD17_17
*C(=O)Nc1ccc(*)n1N,123.115,9.0,46.0,-0.5423000000000002,33.235099999999996,0.0,1.0,0.0,0.0,3.0,2.0,60.05,6.0,1.0,-1.45,3.551589868698774,1.0988759684644815
*C(=O)Nc1ccc(*)c(O)c1,135.12199999999999,10.0,50.0,0.6479999999999999,36.75950000000001,0.0,1.0,0.0,0.0,2.0,2.0,49.33,5.0,1.0,-1.5100000000000002,4.328329845210973,1.5025690547870763
*C(=O)Nc1ccc(*)nc1C(=O)O,164.11999999999998,12.0,60.0,0.03560000000000002,39.849,0.0,1.0,0.0,0.0,3.0,2.0,79.29,7.0,2.0,-1.9099999999999997,5.703826819942243,2.036933266590908
*C(=O)Nc1ccc(*)nc1O,136.10999999999999,10.0,50.0,0.04299999999999987,34.554500000000004,0.0,1.0,0.0,0.0,3.0,2.0,62.22,6.0,1.0,-1.5799999999999998,4.269573203753302,1.470765522534775
*C(=O)NNC(=O)c1ccc(*)nc1,163.136,12.0,60.0,-0.8401000000000001,39.86890000000001,0.0,1.0,0.0,0.0,3.0,2.0,71.09,7.0,1.0,-1.9099999999999997,5.703826819942243,2.2979937239293733
*C(=O)Nc1ccc(*)c(O)c1O,151.12099999999998,11.0,56.0,0.35359999999999975,38.42430000000001,0.0,1.0,0.0,0.0,3.0,3.0,69.56,6.0,1.0,-1.7100000000000002,5.008836911726517,1.6602267940539053
*C(=O)Nc1ccc(*)n1C(=O)O,152.10899999999998,11.0,56.0,0.26999999999999985,36.5075,0.0,1.0,0.0,0.0,3.0,2.0,71.33,7.0,1.0,-1.7799999999999998,4.9486739683719865,1.6287128128796258
*C(=O)Nc1ccc(NC(=O)c2ccc(*)o2)o1,218.16799999999998,16.0,80.0,1.3806999999999998,54.0219,0.0,2.0,0.0,0.0,4.0,2.0,84.48,8.0,3.0,-2.5,7.74793388429752,2.9934359438660025
*C(=O)NC(=O)c1ccc(*)nc1N,163.13599999999997,12.0,60.0,-0.7625,41.1456,0.0,1.0,0.0,0.0,4.0,2.0,85.08,7.0,1.0,-1.91,5.703826819942243,2.036933266590908
